0.23002,5.0726,-0.27606,0.83244,-0.37787,0.48032
0.15549,-0.16939,0.67065,-0.85955,-0.37787,-0.94572
-0.78441,-0.44365,5.6747,-0.85955,-0.37787,-0.94572
0.54609,0.13141,-0.45639,-0.85955,-0.37787,-0.94572
-0.10299,-0.39499,-0.14082,0.9797,-0.37787,1.0136
-0.1804,-0.38172,0.26492,0.77295,1.469,0.85207
-0.068603,-0.34633,-0.1859,0.89911,1.7434,1.0623
-0.082492,-0.44808,0.89606,-0.85955,-0.37787,-0.94572
-0.1516,-0.36845,0.62557,1.1974,-0.37787,1.0105
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
-0.081137,-0.32422,1.0313,1.1717,-0.37787,1.3975
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
0.77509,-0.44365,-0.50147,-0.85955,-0.37787,-0.94572
0.53762,1.5868,-0.27606,2.3755,-0.37787,0.80941
1.3041,1.0604,-0.36622,1.8654,-0.37787,0.94348
0.38602,1.777,-0.41131,0.76957,-0.37787,0.89778
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
-0.10112,-0.27998,-0.27606,-0.85955,-0.37787,-0.94572
7.4696,-0.44808,-0.59163,-0.85955,-0.37787,-0.94572
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
0.81507,2.7281,-0.050653,0.62991,0.79102,0.65401
0.76408,0.56935,-0.50147,1.378,-0.37787,0.8734
-0.44226,-0.44365,1.437,-0.19415,0.12704,1.2787
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
-0.78441,-0.4702,-0.59163,-0.85955,-0.37787,-0.94572
0.60165,0.60032,0.31,0.88561,0.72806,1.0562
0.14516,-0.17381,-0.1859,0.5451,-0.37787,1.1659
-0.29541,-0.41269,0.03951,-0.85955,-0.37787,-0.94572
0.2224,-0.2092,-0.095734,0.046784,-0.37787,1.2634
